Text,Sentiment
survived group project without drama miracles happen groupprojectsuccess teenachievements,Positive
im trying figure earth supposed able update statuses via phone someone help meeee,Positive
youre reason cant get boc,Negative
world beauty pretty girls im testing new version,Neutral
100 raw day,Negative
dont u use twitpic none ur pics show phone,Neutral
going relax chill tonight back work tomorrow week least fun time girlfriend,Positive
lovely night guys full moon thinking going onto roof lol,Positive
burnt hand today,Negative
black russians makes think white russian movie quotation rug really tied room together,Neutral
freaking bored bus hate poor ï½480 return 10 min train ï½2 return hour long busipod battery 2,Negative
hopefully dont go far sometimes feel like renouncing roots,Positive
hook rian van staden twitter much better cook may concrete suggestions,Positive
day dreaming fuzzball snl,Neutral
supposed unrelated storywise new part fallout series theyre working name,Negative
_zaboo ok hurts abit thought good job rude people could understand x,Negative
horrid dream suspect cancel plans tonight,Negative
finally someone spreading hayley love via twitter welcome club taylor,Neutral
quaver sandwiches tea,Neutral
happy mothers day everybody,Positive
woop bought elliot minor album itunes finally working,Positive
still got going,Neutral
going good ol soak tonight mothers day feed love ever,Positive
know good little life love,Positive
yeah way home,Neutral
finishing last friday olive crest,Neutral
thanks hope 2 iv playing dmc4 like 5 times kinda sick hehe,Negative
_vip bye bye beard,Neutral
twitter connected facebook,Neutral
enjoying cold raininy boston day think new metal back doesnt like getting wet,Negative
ready eastenders going good one last bgt semi final final tomorrow night though exciting stuff,Positive
bonfires fave,Positive
dh work dd7 party seriously thinking treating ds9 sushi lunch mothers day,Neutral
highly amused wasnt treated nicely like patientnot fault life better,Positive
shameless plugging best rangers forum earth,Neutral
well guess mccafetastes like cured ur craving get mcskillet wants,Negative
oh dont spoil fun lol,Negative
bloggingits new passion,Positive
need breakmy head hurts,Negative
_j boat,Neutral
playing 7 club impact tomorrow finally got shirts woopity doo want slurpeeee sooo bad right,Negative
anyone want stop carls jr bring chicken club barely walk,Negative
cant sleepso im watching hgtv im afraid infomercials take,Negative
yeah silly mistake end long day etc etc brand new pliers,Negative
looking window depressing beautiful,Neutral
puppies killed cat lastnightthey thought stuffed animal rip meanie,Negative
groom think ill die old maid lol,Negative
working hard drag time tweet,Negative
oooh harlow sweet,Positive
isnt going movies got grounded,Negative
haha aww hun bet creative,Positive
nans house eating fish chips watching top gear good times,Positive
longer biz together one thing survived marriage good inlaws though,Neutral
god peppermint mochas frappachinos amazing addicting,Positive
cd player car broken much listening kidz bop happy meal cd,Negative
cant buy nokia n97 amazon says ship address,Negative
going crazy pain unbearable got ta wait till thursday,Negative
forgive hurting one love,Negative
feeling empowered conquering challenging hiking trail,Positive
finds hardest thing christian put god first life need help,Negative
ha youll fine positive aha know huh wht long conversation remeber allyson even lnger ones x,Positive
know wrong maybe shouldnt things like,Negative
lie like restaraunt named garfields nowhere found,Negative
life suck,Negative
paid bills money,Negative
matter love take pick ha,Positive
want cheese fries fontanas,Neutral
pshdidnt even pay though,Negative
hm ever realized incredibly overrated tokio hotel becoming makes sad,Negative
ermm like full black upper half completley grey,Neutral
riding adrenaline rush rollercoasters wild twists,Neutral
fickleness seems appropriate twitter user,Negative
take back insulted,Negative
_iain well team couldnt,Neutral
watching thing comcast missing boo like crrrrrazy,Negative
get canada cant wtf seriously im allowed cross border,Negative
im tweeting hard dont get,Negative
envious people longdistance relationshipsshes mushy one cuddle,Negative
getting ready early night tweeps great one every 1,Positive
good night erin wouldnt say early old,Positive
heyy sweety go advanced training waht r u hugzxxxxxxxxxx,Neutral
good enough,Negative
whataburger closing locations tally harsh might transfer schools,Negative
go see puppy dont want alone,Negative
loves smell roast oven thanks ideas,Positive
toaster oven fault im going look like idiot front father,Negative
gym fun,Negative
girl im ya got ta let know get kit together got flyer next weekend im,Negative
im start learning machine learning,Neutral
loved sun today love black suit black top plus 6 trainstubes get meeting back need shop summer,Positive
cant use blackberry today sucks,Negative
certainly know feeling wesley sleeping want go get something eat 438 account,Negative
thanks lady,Positive
seen mi abueltia hospital shes good,Positive
let know turns,Neutral
fight club 10th anniversary reenacting nice tattoos,Positive
sososo bummed like really bummed hate rain ruin date,Negative
morning happy juddday,Positive
playing see againmiley cyrus shop,Neutral
good morning twiggas twitches getcha motivation,Positive
good point mine way get delivered post pics wen get,Positive
_radio im awake ill nap afternoon,Neutral
picat 21,Neutral
journey wow u became cooler hehe possible,Positive
terrible trouble sp words child would drop pider pade etc needed lessons bad memories,Negative
fantastic,Positive
hahhaa okaay ily lmfao,Positive
_laiter already discussed today yeaaaaaah,Neutral
original nonyahoo acc deleted got boughtout bad dont receive yahoospam,Positive
givein lady ga ga arun money get hee hee love,Positive
tired glad bank holiday,Neutral
abit happier thought ashleigh loocie soonish sad miss sane,Neutral
wheniwerealad explain worked lol rude explanations pleeezzze,Neutral
realized im going home 2 weeks today,Neutral
badbooks dont know bother,Negative
im ya doesnt follow either,Neutral
aww bless give chance,Positive
happy almost mothers day,Positive
lmao dont fake paris anymore look bio way cant log onto forum,Negative
hope earlier september along time offf,Positive
make enjoy,Positive
love vintage booksold books shopping morning,Positive
convinced always wanted signals give think lost another friend,Negative
morning happy star wars day may 4th,Positive
gon na eat pizza,Neutral
dude feel really bad doesnt work dont serial cant used,Negative
_jessicab_ yipaw gon na miss bb,Negative
gmorning ooh giirll mondays,Positive
trackflashback believe thing called love darkness check,Neutral
10 days go freedom xams,Negative
good morning pretty outside today,Positive
nope het lostfound,Negative
yup stayed end exciting,Positive
good song,Positive
think missed tooo,Negative
im school right,Neutral
sure entire blogroll terribly updated could motivate update redo,Positive
sunny hot london today sit office cranking spreadsheets,Negative
work dont know im exhausted,Negative
_pina_14 goodhe wouldnt like girl flirting colleagueswould,Negative
knowi would yes cant wait bb love heard theyre showing 24 hr live streaming year though,Positive
_thompson u may need pilli think u crazyhere take mine,Negative
moment shame speaking injustice,Negative
lol sorry funny,Neutral
hey kelvin days fantastic far getting ready family mothers day function shortly,Positive
leave pieces wreckers hmm,Neutral
cleaning house im boring,Negative
thats funny cute kids,Positive
aw sounds amazing think work thank inviting though,Positive
going great productive week feel positive thinking key,Positive
tall ups downs legs pain,Negative
like u said give tc chance miss thomas move watch,Neutral
finally gotten online logging 200km last two days errands family driver,Neutral
hmm idk song,Neutral
sure careful also making statements dont parallel ideas happen ive seen,Positive
_kay2 welcome twitter babes know meanstill trying figure,Positive
way la running little bit late,Negative
good see hear well andy,Positive
hiya get picture converse get converse,Neutral
epic ocd moment deleted sims file spent hours building set favorite food wrong,Negative
got phone black swamp bird observatory reports connecticut warbler metzger magee today,Neutral
dad gave old blackberry old doesnt even scroll ball want bold,Negative
asda ready meal dont think ill ever,Negative
control tweets u post facebook using hashtag check awesome easy app,Positive
amazing time dancing dj dan ruby skye tonight im still looking roommate sf know anybody,Positive
ugly programmes open,Negative
indeed nice week,Positive
bad im programmer company,Negative
still finishing errands trip tomorrow morning airport 6am,Neutral
getting ready start work weekwork 2 3 work 3 bad great one everybody,Positive
waiting car wash see say amara,Neutral
ill get new laptop 10 days excited dell inspiron core2duo 20ghz 4gb ddr2 250gb hdd 156 inches screen,Positive
watching gross point blank,Neutral
hates net ayaw bumukas ng twitter,Negative
gooodmorning people earth,Positive
left sad waiting mom come home want papa johns dinner,Negative
soooooo true dont dare ask something like,Neutral
seriously bored without anyone talk tired enough sleep,Negative
full day activities lol,Neutral
forgot lumpia pancit fridge last night yay,Positive
yaaawn stayed late last night still got ta work get super early tomorrow,Neutral
dog nemo cause wimpers every morning leave,Neutral
hey didnt get,Neutral
_watkins oh gosh ian always miss,Negative
watched 7 pounds maaaannnnnnnnn,Neutral
sounds like episode tv wine library,Neutral
well friday usually start something awsomeim sure thatll time around got ta shake,Positive
operation mischevious pinwheel commence 25 min lol waiting ed show,Neutral
haha remember,Neutral
hey sorry late replybut plan posting facebook twitpic,Negative
sister would hahah thats funny thought liked,Positive
case one gave heads att put iphone app account management mywireless id love see review,Positive
im loving humidity right nowgreat skinanother love wont last,Positive
know lots comments return really busy ill get round guys sorry,Negative
going town friend long time havent seen himokok feeling fresh,Positive
great day another one awaits,Positive
addicting kind curse night time everytime one feel like making music afterwards,Negative
going im siiiick im mad jason said recover fully go paintballin u playing,Negative
maybe tonights night pick,Neutral
record john mayer freaking cool,Positive
wtf polyvore whats enjoy though,Positive
heres brief preview omg james creepy role im scared,Negative
adventures jamie bethhh,Neutral
know make us watch awards sunday loli want shower water,Negative
shakalohana week two flat wavez surfin,Negative
planning run riot luton today ba haa reeeally wheres library town though,Neutral
turns get go see decemberists,Neutral
really cool,Positive
hmmm using tinytwitter small nontouch screen really much fun,Negative
gorgeous photo california two make melt,Positive
crawling den night,Neutral
pretty girls must love whole lot happy bday,Positive
fun last night didnt see,Neutral
best writing well dont think lol id read pretty good lol,Neutral
lack go hunt lol refresh memory one clue 2,Negative
hey never realized also get twitter account guides truly many times lifesaver,Positive
would done legless stillborn spaniels idea sad 20yrs later strawberries dead puppies,Negative
miss 8703,Negative
_diaz notice men kids stores sati heading church sing choir 1st 2nd services,Neutral
yeayyy good,Positive
watching episode friends lunch break,Neutral
houses bust house 1 smelled like bowling alley maaad gross house 2 needed new roof basement,Negative
lmfaaoooo watched pink videoyou know well love itsoooo lol,Positive
love fly live chats dont like sick,Positive
running errands geeta feeling like plague,Negative
granted wont either,Neutral
haahaha omg dude read almost choked haha thanks,Neutral
god pisses always enter comps never wini sore loser,Negative
ton fun w muffin today,Positive
im nervous,Negative
1 dont 2 lmfao wonder,Neutral
mess missing bra strap,Negative
darn go whole weekend without em,Negative
forget youre venezuela talking like classmates,Neutral
freezing raining,Neutral
sprained ankle like really badly tore stuffs hurts birthday weekend,Negative
walaikum assalam alhamdulillah im chicago wend may 29th would nice meat duas,Positive
may suggest,Neutral
like new profile pic cute,Positive
apprehensive steps tightrope uncertainty balancing act fall seems inevitable anxiety constant companion,Negative
happy mothers day ekin sayang mak,Positive
back kinds messed strudel going live another town move im going miss little runt,Negative
hit leaving conti boooooooo,Neutral
arent randoms love star wars day didnt realise cant believe almost,Neutral
feeling well,Negative
heh heh heh come thq release ah well try almost anything billed rpg,Neutral
ahhh knowww saw may 5th 6th newcastle good im soo excited 6th june bday aswell,Positive
impressed,Positive
making imovie college,Neutral
one told mutual admiration society meeting morning lol hi boys,Negative
hahaha well try ugly,Negative
huh ill try reason try,Neutral
raining belfast promised would clean windows today back bed,Neutral
work lunch lot work enough help,Negative
kashtam wonder would similey csk,Neutral
know sad back 05 auto industry didnt understand iphones would change lives,Negative
_stack wish could go dont think ill allowed p either way two shows going bound get ticket,Neutral
class next two daysbut work everyday today til next wednesday sad,Negative
sometimes also emoticons sometimes,Neutral
im ready tomorrows competition,Neutral
awww thats nice make really beautiful couple balance,Positive
ideal bank holiday conditions little cast rainy perfect lazy day dvd,Negative
eew cheese hate cheese,Negative
oh ok good jump joy made day,Positive
haha dork good,Neutral
soso thanks ive uploaded new campaign vid post link mins babe,Neutral
hallooo bayernhallooo stau,Neutral
hating life moment theres many nos delicate little mind take,Negative
_ladie haha ive got camera lenses ready,Neutral
planning week going good going get lot stuff done,Positive
_anr_shine feeling pretty good check saying,Positive
im needing girls night wearing sweats watching movies eating chocolate talking boys,Neutral
_punk_robot wtfwinter isnt due til monday freezing,Negative
even arnold couldnt save parks providing jobs,Negative
dog ran awayyy,Negative
oh man wan na bay asap thank great day,Positive
forgot set alarm 6am ride hope get easy miles work tomorrow racin gap,Positive
determination driving force propelling forward path extraordinary achievements,Positive
night honeysee ya tomorrow,Positive
definitely appreciate simple things make day,Positive
_city hey u like fob 2 follow luv 2 talk looking 4 frineds followers ellen,Positive
school blow looks nice today thoughh,Positive
thanks trying keeping chin ouch,Neutral
okay need find another way lolz,Neutral
sorry taking twitter icantsleepness,Negative
study later guys,Neutral
almost new york city,Neutral
says thank,Positive
wish joe bidden train,Positive
feeling sick,Negative
lol fine go,Neutral
waaaaaaaa kicked us bank getting monday omg chilito,Negative
definitely even ill call never ur day,Neutral
step 1 photoshop expert,Neutral
always thinking look good place appericiate everyone supports every site joined,Positive
someone hacked emails,Negative
aww preciate loves hunnie,Positive
yeah guess sound bit odd cause hes saying really quickly,Neutral
oh man going connect old school nintendo play mario games bag got ta search,Negative
somewhere,Neutral
yes quite unsure aswell haha,Negative
waiting raimis new horror flick drag hell im really excited bad amcmain kc,Neutral
gees week get anymore horriblenow cant go spain,Negative
weather awful want curl read book day,Negative
part surrey either feeling quite bit nippy must say afternoon,Positive
well thats exam failed bsc gone,Negative
yummmm make sure u leave 4 im home cleaning working mad hard,Negative
awe thanks,Positive
migraine leg pain woe go bed 2 flights stairs away happy mothers day,Neutral
extra night pasadena sergi baby cuz missed train riverside,Neutral
heading relay belfast marathon,Neutral
kyle make fart noises armpit,Neutral
giddy excitement first snowflakes dance sky,Positive
feeling like 16 watching twilight enjoying,Positive
hi im barb frm ia new tweetin enjoy reading ur tweets u seem like wonderful personi know ur wonderful actress,Positive
hours ago came realised went buy something online,Neutral
offer like,Neutral
morning chip loved new html format ezine,Positive
hey wont coming town weekend dont day next friday,Neutral
dont feel good,Negative
oh well maybe one day,Neutral
watching doa,Neutral
friday friday morning ugh,Negative
need plugs real ears want stretch money,Negative
whitewater rafting tripics,Neutral
exploring historical architecture ancient city traveler transported bygone era monument whispers tales past,Neutral
thankyou yes prewedding party,Positive
ouch im sorry,Negative
want hear something funny im radio right,Positive
think catch sleep befor go back uni haha goodnight3,Positive
wink,Neutral
ya weather super weird looked like gon na rain today course didnt darnitt,Negative
going buckling week relief twitter followers inanity enjoy silence,Positive
wants hear voice,Neutral
weird tot usually rain east coast first east coast usually gets rain,Negative
must fool twitterland doesnt get retweet sadsville,Negative
saw red audi highway sped uo hoping loss,Negative
im totally going bed right,Neutral
prob sexy site,Neutral
know guess hoping theyd revitalize plot lines well instead reverting old cliches,Positive
hahaha thaanks iï½m brazil,Positive
jus got done swimming soon ima need stay outta sun,Neutral
congratulations manny pacman pacquiao youve made every filipino proud filipino,Positive
wud im work srry,Neutral
new picture bored,Negative
youre welcomeyou deserve,Positive
feeling good,Negative
even though 7am saturday morning feels like weekend already btw im awake bad dream,Negative
giving shouts peoples twitterville,Neutral
okay someone keys really good hide james game,Neutral
_hypnotic oh thanx thought ilost iappreciate,Neutral
hi everybody im lunch break work enjoying nice cup coffee,Positive
10 minutes boarding 14 hours home window seat,Negative
loves mum much happy mothers day wonderful mothers,Positive
weekend along summer feel sad,Negative
aww im sorry im home hope ok love ya wifey 3,Negative
love crowded cars ayanna,Positive
pumped bummed time,Neutral
oh haha thanks thats something new,Positive
gooooooodmorning world god bless great day,Positive
got shower sitting towel hate twitterberry cant reply tweets,Negative
thanks props,Positive
im sorry dont wan na cuz u act u turn right around ignore,Negative
mother drunk grrrreat okay mothers week,Neutral
non works,Negative
2697 views flickr account maybe much im happy yay,Positive
good luck final,Positive
tired goodnight twitter mothers day happy mothers day lov moomy 3 yayy god bless,Negative
may 4th hahahaha thatll neverrr get old,Positive
saturday worst saturday ive ages,Negative
yep one works love potbelly cant get az wait chitown trips,Neutral
yay back home,Neutral
looks like hiding money offshore bank account behalf lastfm,Neutral
uh oh sunburned,Negative
weightlifters failed attempt personal record results frustration highlighting challenging nature pushing physical limits,Negative
oh foa real didnt really keep going many diff storys n stuff hey wish neva,Neutral
dont cry see u tomorrow muah,Positive
sorry im back food calling namelolall good hi sorry havent said sooner lol,Neutral
nose runny head pounding teeth hurt like man feel awful,Negative
like pics lucky girl,Positive
wow beautiful picture wayi straightjust wanted let know bella,Positive
thanks assignment im work today,Positive
whew vacuuming good time vacuum,Positive
know shouldnt saying itim hell,Negative
school work thats really u still sac tittle late,Neutral
cant stop playing fallout 3 game addictive like crack bad dream repairing guns sleep,Negative
mean,Neutral
home im lonely,Negative
shower time,Neutral
would eat away masculinity masculinity p haha ud probs beat tho haha xo,Positive
_ri_ja good morning nice see,Positive
drews new songs make cry miss thomas already,Negative
dont know wear,Neutral
fantastic jjj questions already teachers pet,Positive
_confidential tried use spinelli turn gh didnt really work,Negative
hey home sleep cant believe weekend finished fast happy mothers day good morning great sleep,Positive
sooo sad miss san diego,Negative
account local comic store ran 4k one time,Neutral
listing sad song sad,Negative
george b shaw apparently wrote 2000 words day sure practice works comes 2nd nature,Neutral
_o uh could come visit austin make gigantic moving decision closer st louis portland,Neutral
malakas ang ulan go fort,Neutral
sucks,Negative
whole season behind us,Neutral
workthinking things working,Neutral
panasonic chargersorry,Negative
teh part hes liek feeling girl feel sooo soooory,Negative
oh great,Positive
good topics ciggarettes,Positive
job hunting try day nothing works bet couldnt even work cider belly,Negative
hi angela check email need one thing sorry day,Negative
ordered new blackberry arrive tues may die without phone withdraws already,Negative
feeling well,Negative
aw poor youironing eek lol raining tooprob try get kids laternt exciting im afraid,Negative
think june gloom arrived,Negative
another week another org change discussion,Neutral
soo happy today going home bit sucks meeting everyone aceness extreme lol cheesy p,Neutral
_handz_ well know kind guys idiots,Negative
til next asaran,Neutral
pretty cool kids adults fun,Positive
yay tell said congrats,Positive
miss nostalgia everyone please kick tushar,Negative
see october love new book whens next one,Positive
sad wish could stay longer last time ill see tonight better wear make,Negative
na friend ask great physique lol,Neutral
come overhere dutch dont dub might go hour bringtaraback,Neutral
def see ya tonight must get rn photos didnt get yesterday lol thanks please dont forget,Positive
dreading work tomorrow wish one day,Neutral
_navarro wish area offered chinese food delivery,Positive
miss,Negative
thanks synn,Positive
got home bought twiggies toothbrush promises make teeth 60 cleaner,Positive
done run 145km 1h33mn 153bpm feeling great fatigue speed,Positive
awesome beer pong party house yard tonight going sun rising officially ba,Positive
justwatched depressing episode jon kate everi actually almost cried,Negative
im twitter dumb saw com kind folks whove tweeted ahso sorry im ignoring slow,Negative
rain bring back memories,Neutral
_twist86 picking,Positive
dope mom love stop drinking mom juice stop twittering get rest,Positive
id rather beatweetup instead im taking cue shutting reprezentzent,Neutral
hearing susan boyle sing came beautiful person id ever seen feel bad first impression though,Neutral
poor heather didnt make cheerleading squad im sorry babygirl maybe next year,Negative
ive heard disgruntled investors calling hoe seems totally line,Negative
nai nai baby haha didnt know twitter oh well,Neutral
haha follow john mayerhes pretty funny guy want move la much fun,Positive
say look yummy want taste im human sandwich lmfao makes,Positive
george lopez bed mommys day tomorrow wish house hugh laurie sexay sometimes like way older guys,Positive
bows glad service,Positive
yes,Positive
lololol love kenan kel rocks soo hard im watching nowright,Positive
lost favorite pen good thing back,Negative
want wish everyond happy mothers day hope great one,Positive
charley horses legs night,Negative
nice go bathroom hear sound gently running water,Positive
speed lessons main screens center court take pic,Neutral
hate endless supply hot water put water heater 20mins ago ill gone 10mins,Negative
aww yeah feel know hard,Negative
ooow look painful poor bb,Negative
trying sleep watching cnn thinking todays meeting workbest buy 247 life oh well whatever pays alcohol,Neutral
one thing good enough friendship retained,Positive
finally home gon na hit hay n sleep till noon lol,Positive
bit worried,Negative
know im rogers im pretty sure dont agreement twitter,Neutral
feel like im gon na make year,Negative
perky purple nail polish isnt perky chipped,Neutral
glorious day glasgow change im working much even contemplate knocking early,Neutral
bed time hope go school tomorrow though dont feel well right,Negative
super bored friday night,Negative
long weekend thank god sleep monday,Positive
lost link sent pull battery,Negative
lol still would got look face case,Neutral
wish still loved,Positive
chilling feeling really nice,Positive
nice pre mothers day dinner cocktail retiring evening,Positive
put original art comics album really nice except shows much liked cut corners finish,Positive
really crying shame,Negative
im getting family ready kaylees graduation gon na make sad,Negative
go get em lol,Neutral
wanted say 3 ur musicboth scene aesthetic n danger radio hopefully get see u guys 1 day,Positive
plan may changes nooooooo,Negative
youre fantastic actor time got recognition,Positive
happy mothers day,Positive
devjavanet slowest website,Negative
happy bunny,Negative
frustration boils volcanic eruption emotions,Negative
getting dressed go grannysanother day twitting,Neutral
ps uv rays strong clouds regular sun sometimes stronger fyi,Neutral
sorry tweet bgt poor wonderful crazy weird greg fair silly little girl never going cope urgh fair,Negative
wish literally could every worldima nymph,Negative
penssteigyno politics hunthe obamas watching hockey,Neutral
returned huntsville saw sam houstons grave went prison museum ate chocolate dipped strawberries,Neutral
beat aye music hall babyy im like cinnamon beat apple apple jacks,Neutral
also make space computer game dont meet minimum requirements sims 3 moment,Neutral
ohh yeahh showcase said artist outta town keep posted next one,Neutral
may 4th,Positive
wish could see dramafest bad,Negative
nite im n bored opposed almost sleep frm b 4,Negative
discovered band tv guys really good love music,Positive
fun go another park invite lol,Neutral
hate working especially weather good,Negative
gooood miss hope fun wthe inlaws haha,Neutral
probably want go home,Neutral
luv da movie say anything,Positive
welcome deserve followfriday every day,Positive
finished baking cinnamon rolls soooo yummy,Positive
done facebook jamlegend,Neutral
nothings better going chinese supperinn fave cousins 1am,Positive
_refugee_ gets video start 15 seconds exiting watch minutes flash linux fail,Neutral
new article band called mgmt atbfmsolidsynnet,Neutral
yeah hired guy named lenny tend rabbits year,Neutral
impressed might go away complain much x,Negative
sux gabe told go afterparty id works cant go,Neutral
listen back around love song meet tomorrow canï½t go swimming sorry,Neutral
white wine reminds vinegar,Neutral
yep tomorrow night 1030 saw ad squeals loved season,Positive
back wingman great weekend,Positive
coming hospital today,Neutral
seriously though amazing night,Positive
drop girl shes got heart shes sure leave broke bleeding know shell turn back lo,Neutral
ah misunderstood message really dislike f word url good luck march,Neutral
best purchases today yard sales 2 large dog crates 30 refrigerator office 35 didnt buy anything old,Neutral
empowerment mentoring guiding others,Positive
haha im convinced youd great,Positive
nite nite bday girl fun concert,Positive
thanks decided give old hq go account scoundrels,Neutral
working working working many hours spent worth letï½s make red irlanda big,Positive
exam 1 today going get license renewed birthday getting closer,Neutral
miss puppy,Negative
o_o thats cool dang ihave clean room lol good luck wthose jobs gurl,Positive
hates putting new contacts,Negative
unfortunatley aerlingus longer fly copenhagen fly ryanair billund drive copenhagen one days,Negative
baby man 4 years old week today hes growing fast,Neutral
thanks homskis like christmas,Positive
first day research edmonton general,Neutral
time get ready wrk ahhhh dnt wan na goooo,Negative
pic wont load twitter,Negative
im slowly reallizing burn got work 5 hours ago really sucks,Negative
great mom pissed sent asbestos filled backroom,Neutral
yay congratulations oh newly minted graduate youll let buy lunch iced chocolates plural celebrate,Positive
aila cyclone left house calcutta broken sunshade balcony huge branch tree thru bathroom window,Negative
eesh sorry hear isnt going make travel michigan fun,Negative
go byall 3 see ya later guys,Neutral
tiesto vicky park excellent,Positive
southridge moved week later cause swine flu think,Neutral
bank holiday rock seems fitting,Neutral
tired may go bed trouble miss american evening friends x,Negative
anytime need car dammit,Negative
sinking like autumn leaves river sorrow carried away current,Negative
hate feeling like,Negative
found pack united red carpet club booze vouchers anyone wanting quite drinks come appears,Neutral
feel esp know u aint done wrong 3 u,Positive
everything near sg pointsana hindi sa jurong east ang office ni,Neutral
hey way u make somatic theme leopard themes installers already shapeshifter independent,Neutral
always wake one minute alarm scheduled go,Neutral
name chad wont tomorrow,Neutral
pretty baby,Positive
like no1 n tha dj comp hella wack gud djs got free gud,Neutral
totally addicted xbox carcassonne also really love tomb raider legend still badly need bolt,Positive
heeeeey baby,Neutral
_straycat sorry like people like dont feel well tummy,Negative
gnite fukn nite wanted sum pinga couldnt get,Neutral
watching canucks,Neutral
sweet usb charles marie site bought,Positive
want talk calls expensive love,Neutral
month end im till 11,Neutral
hope great weekend congratulations,Positive
good child,Positive
never good time recourse small claims get atty involved,Negative
lol im going see maybe today,Neutral
_jean awessomee cut hurrr give massage orr alkie foodtour yeaaah ill pray ur cousin,Positive
_ called cell phone would let talk teacher,Neutral
hug yep hate meself,Negative
went find unity girl bebo cant find fail bebo stalking,Negative
flu allergy doesnt matter try squeeze sundayyyy,Negative
im home yay unpacked everything got wash,Positive
u drink mor th g1freaks put togetha,Neutral
car happy big big dent boot hoping theyre going write crossing fingers waiting,Neutral
bout get ready work ugh hate workin fridays,Negative
desktop quadcore win7 boot time 225 laptop dualcore w ssd win7 boot time 0 13 ssd desktop arrives 2 days,Neutral
oh ive watched third episode jonas awesome,Positive
yiiiit night,Neutral
ran mile mcdonalds ran mile back would burn double sausage egg mcmuffin lol,Neutral
bit motorcycle trip today,Neutral
fun dolls tequilllacarne asadaand mom dancing funny,Positive
hey socialmediatv ugh way videoblah pouts social media tv live,Negative
follow friday bit hard work kicks fridays,Negative
omg spit drink rip hair straightener,Negative
apologies dont fix hurt feelings kev anyway ill get u next time c u,Negative
also rides giant squidswho knew ama hafta go ill try get later love,Positive
waiting tish get got drive moms crv pick duckie first time,Neutral
hahah know loved hannah montana movie aweesome,Positive
going bed night,Neutral
broke favorite necklace superglue,Negative
serenity found melody peaceful piano,Neutral
glued copier machine today,Neutral
following chester bennington awesome,Positive
layin bed awake txtin girl vegas wishin didnt work w,Negative
hubby needs vacation thank god leaving myrtle beach week,Positive
ughhhhhhhh dont feel good,Negative
watchin tyra bored like always stomach hurts,Negative
yeah plus little far walk pinocchios sushi,Negative
wating get hair cut prom sucks people screaming instead talking probably going wating another hour,Negative
wont able manage 3 nights babe lil ones depending,Neutral
greys sweet surrender,Neutral
yes finish 730 tonight still food great discussion,Positive
curiosity piqued mysteries ancient archaeological site,Positive
going work could use happy pills,Positive
wants eat entire chocolate cheesecake,Neutral
left cali morningin dallas nowmissing car much,Negative
wooow havent charged ipod touch day today still alive thats coolio,Positive
cooking microwave pizzas yummy,Positive
guess interested,Negative
dont love bank holidays,Positive
hips wide rock mario kart shorts bone structure 12 year old boy,Neutral
support,Positive
_what_ let guess skipped sports bought new pinkish outfit,Neutral
cant rooting ali twitter war,Neutral
shoutz 2 mix site gon na b nervvoouuss,Negative
discovered sharing g reader didnt even know sigh im g reader newb,Neutral
want cry thought nba season almost next year miami,Negative
thedailyshow week,Neutral
least fridayworking til 130am,Neutral
omg wango tango awsome love baby taking,Positive
charlie brown today time,Neutral
thank ur gnite thank ur photo sims 3 heart broken,Negative
itlesson school eating salad,Neutral
_erica yea tough keep going sometimes im sure worth,Negative
wasnt going go tonight looks like ill heading main street,Neutral
im hang fone getting hot,Negative
atm oh yeah apple juice im rebel,Negative
wonder white supremists say abhor racists,Negative
feel like im quarantined everywhere go pinkeye go away already,Negative
town mother nice sunnny,Positive
payday yay good bills bills billsim broke already,Neutral
ugh neck really hurts im aquatards xox,Negative
working tomorrow day cant anything tonight whats plan saturday,Neutral
thanks soo much need day five kids lol,Positive
_78 elaines online mommy gives good advice,Positive
saying goodbye something familiar never becomes familiar,Negative
wants sunbathin,Neutral
disappointing,Negative
good night everyone time go mimmiz,Positive
cry baby janes joplin munsay music dont know wich day today,Negative
middle breakfast school calledyepback get sheyagain3rd migraine week maybe one never went away,Negative
cant believe youre coming near place cant get love jenny,Positive
ummwhy let change background im twitterchallenged,Negative
never arrived wait monday,Negative
awesome book cant wait film enjoy dont scared x,Positive
nice luke quote goodluck test u dreading,Positive
bc catnappedcats always weird dreams,Negative
orthodontisssttt,Neutral
_greenwizard ah ha cool look closely get proper sized screen thanks,Neutral
well asked days ago said money thing holding back saturday something,Neutral
thought u go 2 tummy supposed feel better worse,Neutral
downtown fun tonight walk back car rediculous lol,Neutral
im much excited go back school,Positive
nah sucks wear suit temp goes 10 degrees someone sits next,Negative
omg guys internet whole day still working ill try fix 2m,Negative
finally im back online miss lappy many things follow starting ning haha,Negative
work till 6then dreadful tv shopping cause mine broke,Negative
saw play amazing,Positive
thinking swine markets decline since cant say anymore,Negative
wana num 1 fan sharsies,Neutral
_gorham aww shame still followfriday though,Negative
much details glad better,Positive
thanks definition throwbie editors reviewed entry decided publish,Positive
aha length touche,Positive
know would love see 5 lies editors believe writers justsayin,Positive
soooo happy back,Positive
soooo high,Neutral
haha like default picture meow,Positive
plan evening dinner shopping dress shirts watching going bed plan saturday funeral friend,Neutral
saw land rover pull school parking lot thought spencer,Neutral
tryin figure lol,Neutral
man monday sucks wouldnt give rich beach bum diving tropical lagoon every day eating fresh fruit fishahhh,Negative
