original_text,orig_sentiment,orig_score,preprocessed_text,prep_sentiment,prep_score,corrected_label,corrected_on
"Just remember, sending troops from one state to another is illegal. 

But Trump and his thugs don't care.

They are already co-opting ICE agents as military personnel.

The real military will be next.",Negative,1,remember sending troops one state another illegal trump thugs dont care already coopting ice agents military personnel real military next,Negative,0.51,,
My daughter says I'm making it up! Do you remember getting green stamps and filling up the booklets for free gifts? 🤔,Neutral,1,daughter says im making remember getting green stamps filling booklets free gifts,Neutral,1,,
Resident Evil 8 Village Steam Deck Performance Tested In 2025 - Overwhelmingly Positive #Gaming✅ https://www.youtube.com/watch?v=bePLzDE4pXE,Neutral,0.75,resident evil 8 village steam deck performance tested 2025 overwhelmingly positive gaming,Positive,0.97,NEUTRAL,preprocessed
"The Triple-A Lehigh Valley IronPigs, an affiliate of Philadelphia Phillies in the International League, will pay tribute to a time-honored tailgating tradition when they play one game as the Cornholers later this season. https://news.sportslogos.net/2025/06/04/leh…",Neutral,0.87,triplea lehigh valley ironpigs affiliate philadelphia phillies international league pay tribute timehonored tailgating tradition play one game cornholers later season,Neutral,0.71,,
"#TomorrowsPapersToday The Independent unveils its Pride List 2025, showcasing influential figures across a vibrant grid. Featuring diverse personalities, the cover celebrates inclusivity. Check more papers at https://www.thesentinelcurrent.com/tomorrowspaperstoday - www.independent.co.uk",Neutral,0.96,tomorrowspaperstoday independent unveils pride list 2025 showcasing influential figures across vibrant grid featuring diverse personalities cover celebrates inclusivity check papers,Positive,1,NEUTRAL,preprocessed
I feel absolutely no connection to grudges of generations past and I struggle to understand cultures that do,Negative,1,feel absolutely connection grudges generations past struggle understand cultures,Positive,1,NEGATIVE,preprocessed
How do you know if you are making decisions with ego (Fear baced thought.) or with spirit (Love baced thought.),Positive,0.5,know making decisions ego fear baced thought spirit love baced thought,Neutral,1,NEUTRAL,original
"when the big tobacco companies were convicted of knowing, and lying about, the harms of smoking in federal court, they were forced to run print and tv ads admitting this for an entire year. i'm curious how this case will go, whenever it actually gets to the courts. https://arstechnica.com/tech-policy/2025/06/estate-of-woman-who-died-in-2021-heat-dome-sues-big-oil-for-wrongful-death/",Negative,1,big tobacco companies convicted knowing lying harms smoking federal court forced run print tv ads admitting entire year im curious case go whenever actually gets courts,Negative,1,,
YAPs (aka youth attracted people) are queer and a part of the queer community. We have a non-normative sexuality. This is true whether you accept us or not. We're queer and proud just like you. #yap #map 🗺️ #radqueer #queer #LGBTQIA #LGBT,Neutral,1,yaps aka youth attracted people queer part queer community nonnormative sexuality true whether accept us queer proud like yap map radqueer queer lgbtqia lgbt,Positive,0.95,NEUTRAL,preprocessed
I think I upset the bot. 🤣 I was just trying to have a nice conversation.,Negative,1,think upset bot trying nice conversation,Negative,1,,
"Every now and then, I get reminded that people have blocked me on here, and, like, good for them going as their spirit moves them, but also it’s kind of hilarious because 95% of what  I post is random thoughts from my day, and, like pics of dinner.",Positive,0.98,every get reminded people blocked like good going spirit moves also kind hilarious 95 post random thoughts day like pics dinner,Positive,1,,
It is not the amount of followers you amass that will bring you success; it is the strength of the relationships you build that will 👀,Positive,1,amount followers amass bring success strength relationships build,Positive,0.99,,
this one and i keep randomly saying it also which is not good,Negative,1,one keep randomly saying also good,Positive,1,NEGATIVE,preprocessed
I look forward to seeing how this pans out! I'd love to see Perifractic and team take ownership of Commodore and do some good with the brand and community.https://www.youtube.com/watch?v=lN8r4LRcOXc#commodore #retrocomputing #c64 #amiga,Positive,0.75,look forward seeing pans id love see perifractic team take ownership commodore good brand community retrocomputing c64 amiga,Positive,1,,
"#BOX #MAwx 934 FXUS61 KBOX 071834AFDBOXArea Forecast DiscussionNational Weather Service Boston/Norton MA234 PM EDT Sat Jun 7 2025.SYNOPSIS...A cold front will bring showers and isolated thunderstorms with pockets of heavy rainfall later today and especially this afternoon. Dry weather returns tonight and continues into Sunday with pleasant temperatures. A few showers are possible on Monday, but the bulk of the rain with the next system will hold off until T https://mesonet.agron.iastate.edu/p.php?pid=202506071834-KBOX-FXUS61-AFDBOX",Neutral,1,box mawx 934 fxus61 kbox 071834afdboxarea forecast discussionnational weather service bostonnorton ma234 pm edt sat jun 7 2025synopsisa cold front bring showers isolated thunderstorms pockets heavy rainfall later today especially afternoon dry weather returns tonight continues sunday pleasant temperatures showers possible monday bulk rain next system hold,Neutral,0.99,,
9. Your network is gold.You know people. People trust you.That’s leverage.Use it. Nurture it. Expand it.You’re reactivating decades of human capital.,Positive,0.87,9 network goldyou know people people trust youthats leverageuse nurture expand ityoure reactivating decades human capital,Positive,1,,
"At the start of the Industrial Revolution, CO2 levels in Earth's atmosphere were around 280 ppm. When humans first walked on the moon, CO2 was 325 ppm. This week, our planet hit the highest levels ever directly recorded: 430 ppm.#ClimateCrisis #CDNPoli #Canada #Wildfires #NoPipelines",Negative,0.65,start industrial revolution co2 levels earths atmosphere around 280 ppm humans first walked moon co2 325 ppm week planet hit highest levels ever directly recorded 430 ppmclimatecrisis cdnpoli canada wildfires nopipelines,Positive,0.92,NEGATIVE,preprocessed
"My friends don't believe me and say I made it up! But my mom used to rinse dirty cloth diapers in the toilet, squeeze the water out, and put them in a diaper pail.",Neutral,1,friends dont believe say made mom used rinse dirty cloth diapers toilet squeeze water put diaper pail,Neutral,1,,
"Malaysian education, at least public education, remains foolish. I'm 42, so I went to public school a while back, and it was horrible. Broadly, the guarantees of the MOE are a slipknot ... quality control is simply unprofessional, and lacking in rigour. I have very little else to say about it ( unless paid to ) but I just thought I'd put it out there, after reading the N-th news statement from some student about some issue.",Negative,1,malaysian education least public education remains foolish im 42 went public school back horrible broadly guarantees moe slipknot quality control simply unprofessional lacking rigour little else say unless paid thought id put reading nth news statement student issue,Negative,1,,
would you still love me if I was a kartoffel 👉👈,Positive,0.83,would still love kartoffel,Positive,1,,
"OHX issues Severe Thunderstorm Warning [wind: 60 MPH (RADAR INDICATED), hail: 0.75 IN (RADAR INDICATED)] for Giles, Lawrence [TN] till 2:30 PM CDT https://mesonet.agron.iastate.edu/vtec/f/2025-O-NEW-KOHX-SV-W-0220_2025-06-07T18:36Z",Neutral,1,ohx issues severe thunderstorm warning wind 60 mph radar indicated hail 075 radar indicated giles lawrence tn till 230 pm cdt,Negative,0.96,NEGATIVE,original
GRIZZLY MAN!!,Negative,0.99,grizzly man,Neutral,1,NEUTRAL,original
We need to elect more folk singers! 🤔,Neutral,0.8,need elect folk singers,Neutral,1,,
"This time when the lights fluctuated, it wasn’t sarcastic.",Neutral,1,time lights fluctuated wasnt sarcastic,Neutral,1,,
"The Next Decade of Innovation: 10 Transformative Technologies Set to Reshape Our World by 2035The article outlines ten transformative technologies anticipated to reshape society by 2035, including Artificial General Intelligence, Quantum Computing, 6G communication, and Climate Tech. It emphasizes the potential benefits of these innovations alongside the ethical and governance challenges they present, advocating for responsible deployment and interdisciplinary…https://jarlhalla.no/the-next-decade-of-innovation-10-transformative-technologies-set-to-reshape-our-world-by-2035/?utm_source=mastodon&amp;utm_medium=jetpack_social",Positive,0.99,next decade innovation 10 transformative technologies set reshape world 2035the article outlines ten transformative technologies anticipated reshape society 2035 including artificial general intelligence quantum computing 6g communication climate tech emphasizes potential benefits innovations alongside ethical governance challenges present advocating responsible deployment interdisciplinary,Positive,1,,
"I made a kombucha scoby/mother. I referred to it as “Other Mother” (me being the mother of our family), and then felt sad because I hate to invoke the problematic Coraline author. But then I remembered I don’t believe in copyright and so it’s okay. Problematic artist versus being a fan of their art — conundrum solved!",Neutral,0.99,made kombucha scobymother referred mother mother family felt sad hate invoke problematic coraline author remembered dont believe copyright okay problematic artist versus fan art conundrum solved,Negative,1,NEGATIVE,original
i am very bad at straight lines even with a ruler 🤦🏻‍♀️RE: https://bsky.app/profile/did:plc:65isvpdvlh7ttv5tyk5jir4t/post/3lqztsxoam22w,Negative,0.9,bad straight lines even ruler,Negative,1,,
"It's all about sucking up to Trump‼️ 
NO KINGS DAY JUNE 14th
GET OUT IN THE STREETS",Neutral,1,sucking trump kings day june 14th get streets,Negative,1,NEGATIVE,original
"Here's some off-screen footage of SonicRacingCrossworlds from #IGNLive, courtesy of our own @gavincj20!Up first, a look at Dragon Road and Mystic Jungle, feat. Sonic and Storm on extreme gear.#SonicNews",Neutral,1,heres offscreen footage sonicracingcrossworlds ignlive courtesy gavincj20up first look dragon road mystic jungle feat sonic storm extreme gearsonicnews,Neutral,0.99,,
"Just another fantasy moment:All military personnel needed to run the birthday parade call out sick due to headaches, sore throats, and other ailments. It's not like there are tank drivers on every street corner, right?The birthday boy has a total meltdown and is rushed to Walter Reed for observation. Initial reports diagnose a potentially fatal case of SpoiledToddlerSyndrome plus OverEagerEgo and a side-helping of PhattyPhartyPhrenchPhries. Nurses caring for him demand combat pay and threaten to quit.An army officer points out that parking tanks out in the open leaves them wide open to drone attacks. Other officers scoff--""Who fights like that?"" they ask.",Negative,1,another fantasy momentall military personnel needed run birthday parade call sick due headaches sore throats ailments like tank drivers every street corner rightthe birthday boy total meltdown rushed walter reed observation initial reports diagnose potentially fatal case spoiledtoddlersyndrome plus overeagerego sidehelping phattyphartyphrenchphries nurses caring demand combat pay threaten quitan army officer points parking tanks open leaves wide open drone attacks officers scoffwho fights like ask,Negative,0.77,,
"The Defense Forces of Southern Ukraine hit a locomotive with a column of enemy equipment. The enemy's losses amounted to 13 tanks and more than a hundred units of armored and automotive equipment.

ZSU is the best🥹",Negative,0.98,defense forces southern ukraine hit locomotive column enemy equipment enemys losses amounted 13 tanks hundred units armored automotive equipment zsu best,Neutral,1,NEGATIVE,preprocessed
Diego Luna has so much heart for this team,Positive,1,diego luna much heart team,Positive,0.96,,
"US science is being wrecked, and its leadership is fighting the last war - Ars Technica https://arstechnica.com/science/2025/06/us-science-is-being-wrecked-and-its-leadership-is-fighting-the-last-war/",Negative,1,us science wrecked leadership fighting last war ars technica,Negative,1,,
OHSAA girls state track 2025: Did the Division III team runner-up serve notice for 2026?https://www.cleveland.com/highschoolsports/2025/06/ohsaa-girls-state-track-2025-did-division-iii-team-runner-up-serve-notice-for-2026.html?utm_source=flipboard&amp;utm_medium=activitypub Posted into Cleveland sports @cleveland-sports-clevelandnews,Neutral,1,ohsaa girls state track 2025 division iii team runnerup serve notice 2026 posted cleveland sports clevelandsportsclevelandnews,Neutral,1,,
Stop guessing why your LLMs break: Anthropic's new tool shows you exactly what goes wrong | VentureBeat https://venturebeat.com/ai/stop-guessing-why-your-llms-break-anthropics-new-tool-shows-you-exactly-what-goes-wrong/,Negative,0.67,stop guessing llms break anthropics new tool shows exactly goes wrong venturebeat,Negative,1,NEUTRAL,original
you live your values today,Positive,0.99,live values today,Positive,1,,
The funnel from “I’m optimizing my HRV” to “I just want to move to Montana or Costa Rica with a few friends and grow things” is alarmingly short.One minute it’s molecular hydrogen water &amp; peptides - the next it’s permaculture and group chats about buying land.,Neutral,1,funnel im optimizing hrv want move montana costa rica friends grow things alarmingly shortone minute molecular hydrogen water amp peptides next permaculture group chats buying land,Negative,0.66,NEGATIVE,preprocessed
"Need one, two, or all four tires replaced? No problem! At Excellent Tire, we match your needs and budget with fast mobile service. Big or small, we’ve got you covered! 📞 858-588-2803 #TireReplacement #ExcellentTire #1Tire2Tires4Tires #MobileTireService",Positive,1,need one two four tires replaced problem excellent tire match needs budget fast mobile service big small weve got covered 8585882803 tirereplacement excellenttire 1tire2tires4tires mobiletireservice,Positive,1,,
"And yet, it is cis people who wield the lion&#39;s share of power over forcing trans people&#39;s lives into forms of being and life patterns that incur untold amounts of trauma, all for the purpose of serving cis people&#39;s ignorance, malice, and a lust for control over something they do not understand, nor to they care to understand.",Negative,0.96,yet cis people wield lion39s share power forcing trans people39s lives forms life patterns incur untold amounts trauma purpose serving cis people39s ignorance malice lust control something understand care understand,Negative,0.99,,
This was published 2 days ago and nobody talked about it. This was never about eliminating waste This was about destroying our government,Negative,1,published 2 days ago nobody talked never eliminating waste destroying government,Negative,1,,
"The US Right that shapes the worldview of figures like Miller, Vought and Vance view the Democratic legislative majorities and governors of blue states as inherently lacking any moral legitimacy, so any move by a MAGA US central government to terminate blue state governance should surprise no one",Negative,1,us right shapes worldview figures like miller vought vance view democratic legislative majorities governors blue states inherently lacking moral legitimacy move maga us central government terminate blue state governance surprise one,Negative,1,,
"Not only are whale sharks the largest shark, but they are also the largest fish on the planet, as they can grow up to 18 m. Whale sharks are an endangered species, through human activities like bycatch, accidental deaths via boats, and being hunted for their meat. #Endangered",Neutral,0.89,whale sharks largest shark also largest fish planet grow 18 whale sharks endangered species human activities like bycatch accidental deaths via boats hunted meat endangered,Neutral,0.93,,
"Leading UX/UI designer Osman Gunes Cizmeci reveals why the most successful digital interfaces paradoxically become invisible to users. The best #userexperience fades into the background, allowing people to focus on their goals rather than wrestling with technology. https://techbullion.com/the-invisible-layer-why-osman-gunes-cizmeci-says-great-ux-feels-effortless/",Positive,1,leading uxui designer osman gunes cizmeci reveals successful digital interfaces paradoxically become invisible users best userexperience fades background allowing people focus goals rather wrestling technology,Neutral,1,POSITIVE,preprocessed
"and yes, that means that Palestinians do not have a right to a state in which Jewish people, or anyone, is stripped of rights. 

but Palestinians do have a right to dignity, freedom and justice.",Negative,1,yes means palestinians right state jewish people anyone stripped rights palestinians right dignity freedom justice,Negative,0.92,,
"Good news.
#3E #ZB #ZER0BILLIONAIRES",Positive,1,good news 3e zb zer0billionaires,Positive,1,,
"Occupying force of imbeciles. 

At less the military is trained in this stuff. These guys are just barreling through crowds like terrorists.RE: https://bsky.app/profile/did:plc:jectup5k7ptlqgpw3zs32tzl/post/3lr246kpiec2d",Neutral,1,occupying force imbeciles less military trained stuff guys barreling crowds like terroristsre,Negative,1,NEGATIVE,original
"“This is awesome!” So, she’s getting much smarter from the television and Stacie’s continuing mission to advance her Client’s brain is still moving forward. When Stacie arrived here her Client read “See Skip Jump.” Her Client has read the Lord of the Rings Trilogy and many more classics since. Stacie has proclaimed accurately on a number occasions that her disabled Client who reads in Braille",Positive,0.97,awesome shes getting much smarter television stacies continuing mission advance clients brain still moving forward stacie arrived client read see skip jump client read lord rings trilogy many classics since stacie proclaimed accurately number occasions disabled client reads braille,Positive,1,,
"In-person and online, #WCEU brought the community together to celebrate what makes WordPress unique. Read more about the event, including highlights of some of the presentations, here: https://wordpress.org/news/2025/06/wceu-2025-a-community-celebration-in-the-swiss-sun/#WordPress 📸 Photo by Nilo Velez",Positive,0.6,inperson online wceu brought community together celebrate makes wordpress unique read event including highlights presentations photo nilo velez,Neutral,1,NEUTRAL,original
NEW EPISODE OF PUNCH PUNCH FOREVER!!! https://youtu.be/XneTxlzGYK0?si=FnVq79AK_w1i6myp,Neutral,1,new episode punch punch forever,Positive,0.64,NEUTRAL,preprocessed
🎀🎀There is nothing my cat Papa can't do😂,Positive,1,nothing cat papa cant,Negative,1,POSITIVE,preprocessed
